X,Y,SEGMENT
27313.3809,182753.2031,1
27275.3906,182731.7031,1
27242.4609,182714.9063,1
27207.5,182699.5,1
27181.6309,182699.4063,1
27167.9004,182705.4063,1
27156.6992,182718.5938,1
27146.5508,182719.0938,1
27137.9102,182724.0938,1
27127.2402,182726.5938,1
27108.4902,182721,1
27109.5293,182713.4063,1
27115.6602,182701.7031,1
27114.6797,182690.5,1
27109.6094,182687,1
27096.4199,182686.9063,1
27076.1309,182684.7969,1
27057.8809,182681.2031,1
27028.4297,182685.7031,1
27003.5703,182686.0938,1
26987.3203,182689.5938,1
26953.8301,182688.5,1
26939.1699,182673.2031,1
26936.6895,182655.4063,1
26939.2891,182635.0938,1
26934.7891,182614.2969,1
26921.6504,182599.5,1
26902.4199,182582.2031,1
26916.7402,182548.2031,1
26946.9102,182474.5938,1
26976.0195,182417.2969,1
26985.2402,182388.4063,1
27005.8301,182298.5938,1
27022.7695,182237.2031,1
27035.6309,182182.9063,1
26973.2109,182184.7031,1
26970.2207,182168.4063,1
26953.4805,182167.4063,1
26938.2305,182017,1
26925.7695,181946.2969,1
26670.8105,181704.7031,1
26644.3496,181724.5,1
26577.9297,181708.5,1
26575.0098,181670.4063,1
26270.9902,181535.7969,1
26291.4609,181480.5,1
26269.1895,181464.2031,1
26233.25,181437.7031,1
26197.8301,181405.0938,1
26165.4395,181377.5,1
26119.9004,181337.7031,1
26085.5098,181302.5938,1
26056.1602,181279.0938,1
26031.8496,181264.7969,1
25996.9004,181245.9063,1
25973.0801,181235.2031,1
25934.0801,181214.7031,1
25890.5098,181193.7969,1
25869.7402,181182,1
25850.5098,181166.7031,1
25839.8809,181157.0938,1
25819.1895,181133.5,1
25793.4609,181092.0938,1
25772.7695,181043.0938,1
25757.1191,180996.7031,1
25726.75,180950.7031,1
25693.3008,180911.2969,1
25668.9609,180884.0938,1
25630.4004,180859.7969,1
25596.9199,180847.2031,1
25569.5195,180820,1
25545.1699,180782.0938,1
25526.4004,180746.7969,1
25503.0605,180695.5938,1
25474.1602,180637.9063,1
25443.7402,180585.0938,1
25401.6895,180542,1
25367.75,180505.5938,1
25337.3691,180471.7969,1
25295.8496,180436.4063,1
25259.3809,180413.7031,1
25221.9102,180390,1
25177.8594,180361.5938,1
25129.7598,180330.2031,1
25080.1309,180302.4063,1
25040.1309,180285.7969,1
25005.6797,180276.9063,1
24967.6895,180269.5,1
24960.0996,180258.2031,1
24957.5703,180251.5938,1
24945.4492,180223.5,1
24941.9297,180200.0938,1
24940.9395,180180.7969,1
24941.4707,180162.5,1
24949.0898,180146.7969,1
24966.3301,180135.7969,1
24989.1699,180108.5,1
25000.3496,180086.7031,1
25005.9492,180060.7969,1
25012.0605,180037,1
25016.6504,180018.7031,1
25021.75,179996.4063,1
25028.3594,179977.7031,1
25034.4609,179963.5,1
25040.5605,179950.7969,1
25043.6094,179942.2031,1
25044.1309,179931.5938,1
25043.1406,179915.7969,1
25049.2402,179899.0938,1
25058.3906,179879.2969,1
25065.0098,179858.0938,1
25074.6602,179840.7969,1
25085.3105,179831.2969,1
25096.4609,179833.4063,1
25101.5195,179834.5,1
25105.5801,179829.4063,1
25111.1699,179818.2969,1
25126.9102,179799.5938,1
25147.1992,179784,1
25166.9805,179772,1
25183.2109,179763.5,1
25194.3594,179758,1
25199.4395,179751.4063,1
25213.6504,179734.2031,1
25222.2695,179726.2031,1
25228.3691,179719.5938,1
25240.5293,179719.7031,1
25255.7305,179719.7969,1
25267.8906,179718.9063,1
25285.6191,179719.0938,1
25304.8691,179722.7969,1
25316.5293,179722.4063,1
25336.7793,179736.2031,1
25354.5,179746,1
25371.7207,179753.7969,1
25398.0508,179766.7031,1
25419.8203,179777,1
25435.5195,179784.7969,1
25452.2402,179790,1
25480.1094,179792.7031,1
25501.3906,179790.4063,1
25519.1406,179789,1
25530.2793,179791.0938,1
25542.4395,179794.2031,1
25559.6699,179795.9063,1
25580.9395,179802.2031,1
25601.2109,179807.4063,1
25617.4199,179815.7031,1
25630.0801,179826.9063,1
25641.7207,179839.2031,1
25664.5195,179847,1
25679.7207,179854.2031,1
25696.9395,179860.5,1
25715.6797,179874.7969,1
25728.3496,179883.0938,1
25740.5098,179891.2969,1
25752.6602,179905.0938,1
25765.3203,179919.9063,1
25772.9199,179928.0938,1
25781.0293,179932.7031,1
25792.6797,179940.4063,1
25803.8203,179948.7031,1
25808.8809,179961.4063,1
25822.0508,179972.7031,1
25841.9707,179968.2031,1
25859.9199,179964,1
25876.1797,179958.5,1
25892.4395,179951.5,1
25900.6094,179933.7031,1
25909.3105,179909.9063,1
25923.1191,179878.9063,1
25934.8906,179847,1
25940.5391,179824.0938,1
25942.6699,179792.0938,1
25945.8203,179759.5938,1
25945.4199,179727.5938,1
25951.1094,179693.5938,1
25961.3301,179672.2969,1
25983.7207,179650.0938,1
26007.1191,179631.7969,1
26033.5703,179612.0938,1
26056.9805,179589.4063,1
26089.0508,179559,1
26141.4395,179517.5,1
26153.7207,179486,1
26156.3496,179457.5938,1
26156.9492,179429.2031,1
26146.3496,179411.4063,1
26127.1094,179399.5938,1
26099.25,179384.7969,1
